6386,217662,18.6117775,207
2235,90954,4.316514,169
18448,973918,102.5602004,285
11509,486967,34.2601365,191
19700,637528,73.7465605,272
12803,679817,70.9371749,271
22937,852444,110.456862,306
10004,362894,32.6531712,237
2252,84387,3.4252704,186
3898,137567,7.6369075,174
8600,384526,41.1377239,256
3826,158864,10.0358502,229
11247,351358,33.4558116,237
769,16656,2.5081005,144
6637,249967,20.4022218,198
3482,155043,10.4383367,193
11770,444333,46.7824922,251
18660,790777,93.4729053,306
7694,304076,23.2490829,231
9895,506442,53.6699254,272
7460,330014,29.8951811,235
27737,1034802,129.5859876,306
12193,469528,52.6802028,281
9414,425638,34.3646903,210
2314,96394,3.9360418,179
15126,824617,66.2212274,207
1446,59589,4.1979006,172
4047,204850,15.0576296,197
29747,1305765,173.7173037,303
14070,485564,51.2062981,261
5180,186586,18.6424754,256
5075,198347,17.0162465,227
6440,251252,22.6944713,212
32375,1118774,145.2902421,306
15436,649449,69.1484058,292
9069,243247,24.7139853,238
20871,744862,86.1782897,285
3748,81903,5.3655088,213
30147,1176516,147.8013201,306
3075,124610,5.4118855,158
10521,610911,48.5567951,213
21679,715715,77.4408687,268
13882,381935,42.5941347,256
10567,488337,53.8079112,264
12155,541339,51.0802056,248
2920,89912,4.056319,200
17425,892528,86.9922742,264
41554,1362229,190.1494597,306
3445,152007,9.9579447,211
6596,293320,21.9811642,202
962,18812,0.9604193,176
4087,184828,10.4358508,161
4563,161404,12.7765741,230
24580,784602,99.0654314,306
3578,151747,8.5340268,222
1518,32988,1.5484865,169
2970,97133,5.58057,193
11621,568330,54.4624463,277
1659,61050,3.9087765,171
13653,543982,62.0549955,276
13686,360795,37.3169693,233
16979,770659,76.3019129,267
31560,1219650,159.6999082,306
36371,1590655,206.8970221,298
2613,111996,5.2075975,183
6682,249728,27.97499,244
7752,283918,21.0019338,216
16808,522147,57.6515714,276
13746,442174,52.1673934,291
6833,155332,15.0515434,222
14940,428989,51.9061841,292
20467,747613,81.9434867,272
14935,482224,54.3681765,280
8991,224584,17.6860415,171
14948,443221,47.0798921,245
6591,208103,22.1096135,220
17212,604870,73.6877643,306
35123,1465660,184.5898527,306
24389,1174057,132.9485166,273
30809,1264428,154.5153939,306
16516,519385,59.0328274,279
18163,766800,86.9776742,272
14916,686501,70.5342926,270
17444,801853,96.7316523,306
13377,321214,34.263204,274
2682,65252,3.113324,169
17196,789321,86.8263742,304
8069,427832,37.7429833,248
3068,119161,5.3423972,169
7324,191221,19.608958,245
7772,314989,27.9811718,238
21325,698178,77.0974244,268
5372,279191,21.6193644,207
7755,367541,37.4301565,258
2970,94899,4.0693329,193
3593,138035,8.7643784,253
6472,266378,23.8314958,232
2790,112986,5.5485432,187
23842,835952,94.5996254,281
8578,405450,33.689101,204
