6386,217662,49.2168149,207,18.6117775
2235,90954,3.1036045,169,4.316514
2252,84387,2.2599768,186,3.4252704
3898,137567,11.5330831,174,7.6369075
8600,384526,82.0972152,256,41.1377239
3826,158864,11.3586944,229,10.0358502
769,16656,0.1879752,144,2.5081005
6637,249967,48.35646,198,20.4022218
3482,155043,8.2579053,193,10.4383367
7694,304076,75.4370061,231,23.2490829
9895,506442,123.1750451,272,53.6699254
7460,330014,75.0651469,235,29.8951811
9414,425638,105.118706,210,34.3646903
2314,96394,2.6381789,179,3.9360418
1446,59589,0.9817223,172,4.1979006
4047,204850,13.330477,197,15.0576296
5180,186586,25.5438563,256,18.6424754
5075,198347,23.9913242,227,17.0162465
6440,251252,44.8309792,212,22.6944713
9069,243247,95.1594686,238,24.7139853
3748,81903,9.6850765,213,5.3655088
3075,124610,5.4681926,158,5.4118855
2920,89912,4.6534832,200,4.056319
3445,152007,7.9222617,211,9.9579447
6596,293320,47.0785701,202,21.9811642
962,18812,0.226899,176,0.9604193
4087,184828,12.3220482,161,10.4358508
4563,161404,19.2702346,230,12.7765741
3578,151747,8.6462508,222,8.5340268
1518,32988,0.7719292,169,1.5484865
2970,97133,6.5328406,193,5.58057
1659,61050,1.5770411,171,3.9087765
2613,111996,3.710808,183,5.2075975
6682,249728,52.6605765,244,27.97499
7752,283918,75.9918761,216,21.0019338
6833,155332,54.4226771,222,15.0515434
8991,224584,96.360907,171,17.6860415
6591,208103,48.355696,220,22.1096135
2682,65252,4.2474353,169,3.113324
8069,427832,76.8766246,248,37.7429833
3068,119161,5.4567945,169,5.3423972
7324,191221,67.9061894,245,19.608958
7772,314989,79.9821156,238,27.9811718
5372,279191,27.194898,207,21.6193644
7755,367541,77.0496927,258,37.4301565
2970,94899,4.9118518,193,4.0693329
3593,138035,8.9526975,253,8.7643784
6472,266378,46.0837126,232,23.8314958
2790,112986,4.143685,187,5.5485432
8578,405450,82.9129238,204,33.689101
